name,generic_name,strength,form,category,manufacturer,dosage_instructions,side_effects,contraindications,interactions,therapeutic_class,availability,price,min_dose_mg,max_dose_mg,pediatric_dose_mg_kg,geriatric_dose_multiplier,kidney_impairment_multiplier,liver_impairment_multiplier,pregnancy_category,breastfeeding_safe
Amoxicillin,Amoxicillin,500mg,capsule,Antibiotic,Generic,"Take 1 capsule twice daily for bacterial infection","Nausea, diarrhea, stomach upset, allergic reactions","Allergy to penicillin, severe kidney disease","Tetracycline, Doxycycline, Warfarin",Antibiotic,available,12.99,250.00,1000.00,25.00,0.80,0.70,0.85,B,true
Azithromycin,Azithromycin,250mg,tablet,Antibiotic,Generic,"Take 1 tablet daily for infection treatment","Diarrhea, stomach cramps, yeast infection","Allergy to macrolides, severe liver disease","Warfarin, Digoxin, Theophylline",Antibiotic,available,15.99,125.00,500.00,12.50,0.85,0.75,0.80,B,true
Ciprofloxacin,Ciprofloxacin,500mg,tablet,Antibiotic,Generic,"Take 1 tablet twice daily as directed","Nausea, vomiting, headache, dizziness","Allergy to quinolones, pregnancy","Warfarin, Theophylline, Digoxin",Antibiotic,available,18.99,250.00,750.00,25.00,0.80,0.60,0.75,C,false
Lisinopril,Lisinopril,10mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Dizziness, fatigue, cough, headache","Pregnancy, severe kidney disease, allergy to medication","Ibuprofen, Aspirin, Lithium",Antihypertensive,available,8.99,5.00,40.00,0.25,0.75,0.60,0.85,D,false
Amlodipine,Amlodipine,5mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily in the morning for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Simvastatin, Digoxin, Warfarin",Antihypertensive,available,9.99,2.50,10.00,0.25,0.80,0.85,0.90,C,true
Metoprolol,Metoprolol,50mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily as prescribed","Dizziness, fatigue, cold hands/feet","Severe heart failure, pregnancy, allergy","Ibuprofen, Aspirin, Paracetamol",Antihypertensive,available,7.99,25.00,100.00,1.25,0.75,0.80,0.85,C,true
Metformin,Metformin,500mg,tablet,Antidiabetic,Generic,"Take 1 tablet twice daily with meals for diabetes control","Nausea, diarrhea, stomach upset, low blood sugar","Severe kidney disease, heart failure, metabolic acidosis","Warfarin, Digoxin, Furosemide",Antidiabetic,available,6.99,250.00,1000.00,12.50,0.80,0.50,0.75,B,true
Glipizide,Glipizide,5mg,tablet,Antidiabetic,Generic,"Take 1 tablet 30 minutes before meals for diabetes","Low blood sugar, weight gain, stomach upset","Severe kidney disease, pregnancy, diabetic ketoacidosis","Warfarin, Aspirin, Ibuprofen",Antidiabetic,available,8.99,2.50,10.00,0.25,0.85,0.70,0.80,C,false
Ibuprofen,Ibuprofen,400mg,tablet,Analgesic,Generic,"Take 1 tablet every 4-6 hours as needed for pain","Stomach upset, heartburn, dizziness","Stomach ulcers, bleeding disorders, allergy to medication","Warfarin, Aspirin, Lisinopril",Analgesic,available,5.99,200.00,800.00,10.00,0.85,0.90,0.95,C,true
Acetaminophen,Acetaminophen,500mg,tablet,Analgesic,Generic,"Take 1 tablet every 8 hours for pain relief","Liver problems with high doses, allergic reactions","Severe liver disease, allergy to medication","Warfarin, Lisinopril, Metformin",Analgesic,available,4.99,250.00,1000.00,12.50,0.80,0.85,0.70,B,true
Sertraline,Sertraline,50mg,tablet,Antidepressant,Generic,"Take 1 tablet daily for depression and anxiety","Nausea, insomnia, sexual side effects, weight changes","Pregnancy, allergy to medication, use of MAO inhibitors","Warfarin, Aspirin, Ibuprofen",Antidepressant,available,12.99,25.00,200.00,1.25,0.80,0.85,0.90,C,false
Fluoxetine,Fluoxetine,20mg,capsule,Antidepressant,Generic,"Take 1 capsule daily for mood stabilization","Drowsiness, dry mouth, weight gain","Severe liver disease, pregnancy, allergy","Warfarin, Aspirin, Ibuprofen",Antidepressant,available,11.99,10.00,80.00,0.50,0.85,0.80,0.85,C,false
Alprazolam,Alprazolam,0.5mg,tablet,Antianxiety,Generic,"Take 1 tablet 3 times daily for anxiety control","Drowsiness, dizziness, memory problems, dependence","Pregnancy, severe breathing problems, allergy to medication","Alcohol, Lorazepam, Diazepam",Antianxiety,available,8.99,0.25,2.00,0.01,0.75,0.90,0.85,D,false
Lorazepam,Lorazepam,1mg,tablet,Antianxiety,Generic,"Take 1 tablet 2-3 times daily for anxiety","Drowsiness, confusion, muscle weakness","Severe respiratory depression, pregnancy, allergy","Alcohol, Alprazolam, Diazepam",Antianxiety,available,7.99,0.50,4.00,0.02,0.80,0.85,0.80,D,false
Warfarin,Warfarin,5mg,tablet,Anticoagulant,Generic,"Take 1 tablet daily for blood thinning","Bleeding, bruising, stomach upset","Active bleeding, severe liver disease, pregnancy","Aspirin, Ibuprofen, Amoxicillin",Anticoagulant,available,9.99,1.00,10.00,0.05,0.85,0.70,0.75,X,false
Apixaban,Apixaban,5mg,tablet,Anticoagulant,Generic,"Take 1 tablet twice daily for blood thinning","Bleeding risk, stomach upset, headache","Severe kidney disease, active bleeding, pregnancy","Warfarin, Aspirin, Ibuprofen",Anticoagulant,available,45.99,2.50,10.00,0.15,0.80,0.60,0.70,B,false
Atorvastatin,Atorvastatin,20mg,tablet,Statin,Generic,"Take 1 tablet daily in the evening for cholesterol control","Muscle pain, liver problems, digestive issues","Active liver disease, pregnancy, muscle disorders","Grapefruit, Amlodipine, Digoxin",Statin,available,15.99,10.00,80.00,0.50,0.80,0.85,0.75,X,false
Simvastatin,Simvastatin,20mg,tablet,Statin,Generic,"Take 1 tablet daily for cholesterol management","Muscle weakness, liver enzyme changes","Severe liver disease, pregnancy, allergy","Amiodarone, Verapamil, Diltiazem",Statin,available,12.99,5.00,80.00,0.25,0.85,0.80,0.70,X,false
Omeprazole,Omeprazole,20mg,capsule,Proton Pump Inhibitor,Generic,"Take 1 capsule daily before breakfast for acid reflux","Headache, diarrhea, stomach pain","Pregnancy, allergy to medication","Iron, Calcium, Digoxin",Proton Pump Inhibitor,available,12.99,10.00,40.00,0.50,0.80,0.85,0.75,C,true
Pantoprazole,Pantoprazole,40mg,tablet,Proton Pump Inhibitor,Generic,"Take 1 tablet daily before breakfast for heartburn","Headache, nausea, abdominal pain","Pregnancy, severe liver disease, allergy","Iron, Calcium, Ketoconazole",Proton Pump Inhibitor,available,14.99,20.00,80.00,1.00,0.85,0.80,0.70,B,true
Cetirizine,Cetirizine,10mg,tablet,Antihistamine,Generic,"Take 1 tablet daily for allergy relief","Drowsiness, dry mouth, headache","Pregnancy, severe kidney disease, allergy to medication","Alcohol, Diazepam, Lorazepam",Antihistamine,available,8.99,5.00,20.00,0.25,0.80,0.85,0.90,B,true
Loratadine,Loratadine,10mg,tablet,Antihistamine,Generic,"Take 1 tablet every 4-6 hours as needed for allergies","Drowsiness, blurred vision, dry mouth","Severe breathing problems, pregnancy, allergy","Alcohol, Diazepam, Lorazepam",Antihistamine,available,9.99,5.00,20.00,0.25,0.85,0.80,0.85,B,true
Albuterol,Albuterol,90mcg,inhaler,Bronchodilator,Generic,"Inhale 2 puffs every 4-6 hours as needed for breathing","Nervousness, rapid heart rate, tremor","Allergy to medication, uncontrolled heart rhythm problems","Metoprolol, Atenolol, Propranolol",Bronchodilator,available,22.99,45.00,180.00,2.25,0.80,0.85,0.90,C,true
Ipratropium,Ipratropium,17mcg,inhaler,Bronchodilator,Generic,"Inhale 2 puffs 4 times daily for breathing","Dry mouth, headache, cough","Severe heart disease, allergy to medication","Albuterol, Salmeterol, Formoterol",Bronchodilator,available,25.99,8.50,68.00,0.85,0.85,0.80,0.85,B,true
Prednisone,Prednisone,5mg,tablet,Corticosteroid,Generic,"Take as directed by doctor for inflammation control","Weight gain, mood changes, increased appetite","Active fungal infection, allergy to medication","Warfarin, Aspirin, Ibuprofen",Corticosteroid,available,6.99,2.50,20.00,0.25,0.80,0.85,0.80,C,false
Methylprednisolone,Methylprednisolone,4mg,tablet,Corticosteroid,Generic,"Take 1 tablet daily for inflammation","Insomnia, increased appetite, mood swings","Severe infection, pregnancy, allergy","Warfarin, Aspirin, Ibuprofen",Corticosteroid,available,7.99,2.00,16.00,0.20,0.85,0.80,0.75,C,false
Furosemide,Furosemide,40mg,tablet,Diuretic,Generic,"Take 1 tablet daily for fluid retention","Frequent urination, electrolyte imbalance","Severe kidney disease, very high potassium levels","Lisinopril, Losartan, Metoprolol",Diuretic,available,8.99,20.00,80.00,1.00,0.80,0.70,0.85,C,true
Hydrochlorothiazide,Hydrochlorothiazide,25mg,tablet,Diuretic,Generic,"Take 1 tablet daily in the morning for water retention","Frequent urination, dizziness, muscle cramps","Severe kidney disease, electrolyte imbalance","Lisinopril, Losartan, Metoprolol",Diuretic,available,6.99,12.50,50.00,0.63,0.85,0.75,0.90,B,true
Folic Acid,Folic Acid,1mg,tablet,Vitamin,Generic,"Take 1 tablet daily for vitamin supplementation","Nausea, stomach upset, allergic reactions","Allergy to medication, certain blood disorders","Phenytoin, Carbamazepine, Valproic Acid",Vitamin,available,4.99,0.40,5.00,0.02,0.90,0.95,0.95,A,true
Vitamin D3,Vitamin D3,1000 IU,tablet,Vitamin,Generic,"Take 1 tablet daily for nutritional support","Nausea, stomach upset, allergic reactions","Allergy to vitamin D, high calcium levels","Warfarin, Digoxin, Thiazide Diuretics",Vitamin,available,6.99,400.00,4000.00,10.00,0.85,0.90,0.90,A,true
Iron Sulfate,Iron Sulfate,325mg,tablet,Vitamin,Generic,"Take 1 tablet daily for iron supplementation","Constipation, stomach upset, black stools","Iron overload, certain blood disorders","Tetracycline, Ciprofloxacin, Omeprazole",Vitamin,available,7.99,162.50,650.00,8.13,0.80,0.85,0.90,A,true
Calcium Carbonate,Calcium Carbonate,500mg,tablet,Vitamin,Generic,"Take 1 tablet daily for calcium supplementation","Constipation, stomach upset, gas","High calcium levels, kidney stones","Tetracycline, Ciprofloxacin, Levothyroxine",Vitamin,available,6.99,250.00,1500.00,12.50,0.85,0.80,0.85,A,true
Doxycycline,Doxycycline,100mg,capsule,Antibiotic,Generic,"Take 1 capsule daily for infection treatment","Nausea, vomiting, headache, dizziness","Allergy to tetracyclines, pregnancy","Calcium Carbonate, Iron Sulfate, Antacids",Antibiotic,available,16.99,50.00,200.00,5.00,0.85,0.75,0.80,D,false
Clarithromycin,Clarithromycin,500mg,tablet,Antibiotic,Generic,"Take 1 tablet twice daily for bacterial infection","Diarrhea, stomach cramps, yeast infection","Allergy to macrolides, severe liver disease","Warfarin, Digoxin, Theophylline",Antibiotic,available,18.99,250.00,1000.00,12.50,0.80,0.70,0.75,C,false
Losartan,Losartan,50mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily for blood pressure control","Dizziness, fatigue, cough, headache","Pregnancy, severe kidney disease, allergy to medication","Furosemide, Hydrochlorothiazide, Metoprolol",Antihypertensive,available,10.99,25.00,100.00,1.25,0.80,0.65,0.85,D,false
Valsartan,Valsartan,80mg,tablet,Antihypertensive,Generic,"Take 1 tablet daily in the morning for hypertension","Swelling in ankles, headache, dizziness","Severe heart failure, pregnancy, allergy","Furosemide, Hydrochlorothiazide, Metoprolol",Antihypertensive,available,11.99,40.00,160.00,2.00,0.85,0.70,0.80,D,false
Gliclazide,Gliclazide,60mg,tablet,Antidiabetic,Generic,"Take 1 tablet 30 minutes before meals for diabetes","Low blood sugar, weight gain, stomach upset","Severe kidney disease, pregnancy, diabetic ketoacidosis","Metoprolol, Propranolol, Furosemide",Antidiabetic,available,9.99,30.00,120.00,1.50,0.85,0.65,0.75,C,false
Sitagliptin,Sitagliptin,50mg,tablet,Antidiabetic,Generic,"Take 1 tablet daily for blood sugar control","Nausea, headache, dizziness, fatigue","Severe kidney disease, pregnancy, allergy","Metformin, Glipizide, Insulin",Antidiabetic,available,22.99,25.00,100.00,1.25,0.80,0.60,0.70,B,false
Naproxen,Naproxen,500mg,tablet,Analgesic,Generic,"Take 1 tablet every 8 hours for pain relief","Stomach irritation, headache, dizziness","Stomach ulcers, kidney disease, allergy","Warfarin, Aspirin, Ibuprofen",Analgesic,available,7.99,250.00,1000.00,12.50,0.80,0.85,0.90,C,true
Diclofenac,Diclofenac,50mg,tablet,Analgesic,Generic,"Take 1 tablet every 6-8 hours as needed","Stomach upset, heartburn, dizziness","Stomach ulcers, bleeding disorders, allergy to medication","Warfarin, Aspirin, Ibuprofen",Analgesic,available,9.99,25.00,75.00,1.25,0.85,0.80,0.75,C,true
Escitalopram,Escitalopram,10mg,tablet,Antidepressant,Generic,"Take 1 tablet daily as prescribed","Nausea, headache, increased sweating","Pregnancy, allergy, use of MAO inhibitors","Warfarin, Aspirin, Ibuprofen",Antidepressant,available,14.99,5.00,20.00,0.25,0.80,0.85,0.90,C,false
Venlafaxine,Venlafaxine,75mg,tablet,Antidepressant,Generic,"Take 1 tablet daily for depression and anxiety","Nausea, insomnia, increased blood pressure","Pregnancy, allergy to medication, use of MAO inhibitors","Warfarin, Aspirin, Ibuprofen",Antidepressant,available,15.99,37.50,225.00,1.88,0.80,0.75,0.80,C,false
Diazepam,Diazepam,5mg,tablet,Antianxiety,Generic,"Take 1 tablet 2-4 times daily for anxiety","Drowsiness, dry mouth, blurred vision","Pregnancy, severe breathing problems, allergy","Alcohol, Lorazepam, Alprazolam",Antianxiety,available,6.99,2.00,20.00,0.10,0.75,0.90,0.85,D,false
Clonazepam,Clonazepam,1mg,tablet,Antianxiety,Generic,"Take 1 tablet as needed for anxiety","Drowsiness, confusion, muscle weakness","Severe respiratory depression, pregnancy, allergy","Alcohol, Diazepam, Lorazepam",Antianxiety,available,8.99,0.50,4.00,0.02,0.80,0.85,0.80,D,false
Rivaroxaban,Rivaroxaban,20mg,tablet,Anticoagulant,Generic,"Take 1 tablet daily for blood thinning","Bleeding, bruising, stomach upset","Severe kidney disease, active bleeding, pregnancy","Warfarin, Aspirin, Ibuprofen",Anticoagulant,available,42.99,10.00,20.00,0.50,0.80,0.65,0.70,C,false
Dabigatran,Dabigatran,150mg,capsule,Anticoagulant,Generic,"Take 1 capsule twice daily for blood thinning","Bleeding risk, stomach upset, headache","Severe kidney disease, active bleeding, pregnancy","Warfarin, Aspirin, Ibuprofen",Anticoagulant,available,38.99,75.00,300.00,3.75,0.80,0.60,0.75,C,false
Rosuvastatin,Rosuvastatin,10mg,tablet,Statin,Generic,"Take 1 tablet daily for cholesterol management","Muscle pain, headache, stomach upset","Active liver disease, pregnancy, muscle problems","Grapefruit, Amlodipine, Digoxin",Statin,available,18.99,5.00,40.00,0.25,0.85,0.80,0.70,X,false
Pravastatin,Pravastatin,20mg,tablet,Statin,Generic,"Take 1 tablet daily in the evening for cholesterol control","Muscle weakness, liver enzyme changes","Severe liver disease, pregnancy, allergy","Amiodarone, Verapamil, Diltiazem",Statin,available,14.99,10.00,80.00,0.50,0.80,0.75,0.80,X,false
Esomeprazole,Esomeprazole,20mg,capsule,Proton Pump Inhibitor,Generic,"Take 1 capsule daily before breakfast for acid reflux","Diarrhea, headache, stomach upset","Pregnancy, allergy to proton pump inhibitors","Iron, Calcium, Digoxin",Proton Pump Inhibitor,available,16.99,20.00,40.00,1.00,0.80,0.80,0.70,B,true
Lansoprazole,Lansoprazole,30mg,capsule,Proton Pump Inhibitor,Generic,"Take 1 capsule daily before breakfast for heartburn","Headache, nausea, abdominal pain","Pregnancy, severe liver disease, allergy","Iron, Calcium, Ketoconazole",Proton Pump Inhibitor,available,13.99,15.00,60.00,0.75,0.85,0.75,0.65,B,true
Fexofenadine,Fexofenadine,180mg,tablet,Antihistamine,Generic,"Take 1 tablet daily for allergy symptoms","Headache, fatigue, dry mouth","Pregnancy, severe kidney disease, allergy","Ibuprofen, Aspirin, Acetaminophen",Antihistamine,available,11.99,30.00,180.00,1.50,0.80,0.85,0.90,C,true
Diphenhydramine,Diphenhydramine,25mg,tablet,Antihistamine,Generic,"Take 1 tablet every 4-6 hours as needed for allergies","Drowsiness, dry mouth, blurred vision","Severe breathing problems, pregnancy, allergy","Alcohol, Diazepam, Lorazepam",Antihistamine,available,5.99,12.50,100.00,0.63,0.75,0.80,0.85,B,true
Salmeterol,Salmeterol,25mcg,inhaler,Bronchodilator,Generic,"Inhale 2 puffs 4 times daily for breathing","Headache, throat irritation, cough","Uncontrolled heart problems, allergy","Metoprolol, Atenolol, Propranolol",Bronchodilator,available,28.99,12.50,100.00,0.63,0.80,0.85,0.90,C,false
Formoterol,Formoterol,9mcg,inhaler,Bronchodilator,Generic,"Inhale 2 puffs as needed for breathing difficulty","Nervousness, rapid heart rate, tremor","Allergy to medication, uncontrolled heart rhythm problems","Albuterol, Salmeterol, Metoprolol",Bronchodilator,available,32.99,4.50,36.00,0.45,0.85,0.80,0.85,C,false
Dexamethasone,Dexamethasone,2mg,tablet,Corticosteroid,Generic,"Take as prescribed for inflammatory conditions","Weight gain, fluid retention, mood changes","Active infection, pregnancy, allergy","Warfarin, Aspirin, Metformin",Corticosteroid,available,8.99,1.00,8.00,0.10,0.80,0.80,0.75,C,false
Hydrocortisone,Hydrocortisone,10mg,tablet,Corticosteroid,Generic,"Take 1 tablet daily for inflammation","Insomnia, increased appetite, mood swings","Severe infection, pregnancy, allergy","Warfarin, Aspirin, Ibuprofen",Corticosteroid,available,7.99,5.00,40.00,0.25,0.85,0.85,0.80,C,false
Spironolactone,Spironolactone,25mg,tablet,Diuretic,Generic,"Take 1 tablet daily for fluid retention","Frequent urination, electrolyte changes","Severe kidney disease, very low sodium levels","Furosemide, Hydrochlorothiazide, Lisinopril",Diuretic,available,7.99,12.50,100.00,0.63,0.80,0.65,0.85,C,false
Chlorthalidone,Chlorthalidone,25mg,tablet,Diuretic,Generic,"Take 1 tablet daily in the morning for water retention","Frequent urination, dizziness, muscle cramps","Severe kidney disease, electrolyte imbalance","Furosemide, Hydrochlorothiazide, Lisinopril",Diuretic,available,6.99,12.50,50.00,0.63,0.85,0.70,0.90,B,true
Vitamin B12,Vitamin B12,1000mcg,tablet,Vitamin,Generic,"Take 1 tablet daily for nutritional support","Nausea, stomach upset, allergic reactions","Allergy to vitamin B12","Metformin, Omeprazole, Pantoprazole",Vitamin,available,5.99,100.00,2000.00,2.00,0.80,0.90,0.90,A,true
Zinc Sulfate,Zinc Sulfate,220mg,tablet,Vitamin,Generic,"Take 1 tablet daily for vitamin supplementation","Nausea, stomach upset, metallic taste","Zinc overload, certain blood disorders","Tetracycline, Ciprofloxacin, Omeprazole",Vitamin,available,5.99,110.00,220.00,2.20,0.85,0.85,0.90,A,true
Metronidazole,Metronidazole,500mg,tablet,Antibiotic,Generic,"Take 1 tablet 3 times daily as directed","Nausea, vomiting, headache, dizziness","Allergy to medication, pregnancy","Warfarin, Digoxin, Lithium",Antibiotic,available,17.99,250.00,750.00,12.50,0.80,0.75,0.70,B,false
Cephalexin,Cephalexin,500mg,capsule,Antibiotic,Generic,"Take 1 capsule twice daily for bacterial infection","Diarrhea, stomach cramps, yeast infection","Allergy to cephalosporins, severe kidney disease","Amoxicillin, Doxycycline, Metronidazole",Antibiotic,available,14.99,250.00,1000.00,12.50,0.85,0.70,0.80,B,true
